"year","Track URI","Track Name","Album Name","Artist Name(s)","Release Date","Duration (ms)","Popularity","Explicit","Added By","Added At","Genres","Record Label","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Track Name Unique"
"2022","spotify:track:4qv2m0hQwaVF5ss13PXrQK","Followers_2022","Greatest Hits Vol. 1","AREA21;Martin Garrix;Maejor","2021-11-12",177186,44,FALSE,NA,1970-01-01,"edm,progressive house,electronica","Hollywood Records",0.561,0.811,11,-4.167,1,0.0403,0.194,6.13e-05,0.309,0.34,145.04,4,"Followers_2022"
"2022","spotify:track:78FHUZRbFDCG6VkRAQdFLm","Broken Wings","Welcome To The Real World","Mr. Mister","1985-11-27",343933,71,FALSE,NA,1970-01-01,NA,"RCA Records Label",0.286,0.5,1,-14.281,0,0.0357,0.134,4.57e-05,0.108,0.443,99.162,4,"Broken Wings"
"2022","spotify:track:7cyGxmLnHWlwt41cr2RZzG","Do It To It","Do It To It","ACRAZE;Cherish","2021-08-20",157890,75,FALSE,NA,1970-01-01,"tech house","Thrive Music",0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,4,"Do It To It"
"2022","spotify:track:5Eax0qFko2dh7Rl2lYs3bx","Efecto","Un Verano Sin Ti","Bad Bunny","2022-05-06",213061,84,TRUE,NA,1970-01-01,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,4,"Efecto"
"2022","spotify:track:6gkN5lGMV6Dt5Ac8zuErDR","Battlefield 2042_2022","Battlefield 2042 (Official Soundtrack)","Hildur Guðnadóttir;Sam Slater","2021-09-09",152413,30,FALSE,NA,1970-01-01,"neoclassical,drone,score,contemporary classical","EA Music",0.472,0.414,10,-11.447,0,0.0269,0.000292,0.901,0.257,0.0579,89.034,3,"Battlefield 2042_2022"
"2022","spotify:track:5lWSa1rmuSL6OBPOnkAqoa","Rasputin","Daddy Cool","Boney M.","1994-03-14",220666,72,FALSE,NA,1970-01-01,"disco","Ariola Express",0.69,0.752,6,-11.47,0,0.0455,0.463,0.00102,0.595,0.97,126.005,4,"Rasputin"
"2022","spotify:track:1jEBSDN5vYViJQr78W7jr2","Light Switch","CHARLIE","Charlie Puth","2022-10-06",187703,74,FALSE,NA,1970-01-01,"soft pop","Atlantic Records",0.689,0.627,6,-5.692,1,0.308,0.105,0.000321,0.0905,0.905,184.008,4,"Light Switch"
"2022","spotify:track:7kjEqI6eZ7YlFrGhxixnlN","ANTES QUE SE ACABE","EL ÚLTIMO TOUR DEL MUNDO","Bad Bunny","2020-11-27",221186,73,FALSE,NA,1970-01-01,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.693,0.549,2,-6.098,1,0.0577,0.505,4.73e-05,0.324,0.473,139.988,4,"ANTES QUE SE ACABE"
"2022","spotify:track:6qyS9qBy0mEk3qYaH8mPss","Murder In My Mind","Murder In My Mind","Kordhell","2022-01-21",145000,76,TRUE,NA,1970-01-01,"phonk,drift phonk","Kordhell",0.712,0.972,10,-0.514,1,0.112,0.00547,7.06e-05,0.128,0.568,119.966,4,"Murder In My Mind"
"2022","spotify:track:1PtQJZVZIdWIYdARpZRDFO","Running Up That Hill (A Deal With God)","Hounds Of Love","Kate Bush","1985-09-16",298933,88,FALSE,NA,1970-01-01,"art pop,baroque pop,art rock","Fish People",0.629,0.545,10,-13.123,0,0.0546,0.719,0.00308,0.0604,0.194,108.376,4,"Running Up That Hill (A Deal With God)"
"2022","spotify:track:732E6ibFkQR5lNIPEeiEnx","Choker","Scaled And Icy","Twenty One Pilots","2021-05-21",223065,64,FALSE,NA,1970-01-01,NA,"Fueled By Ramen",0.7,0.664,7,-8.211,1,0.0394,0.306,1.89e-05,0.249,0.585,142.009,4,"Choker"
